,CommID,FIPSPL,Name,CAT,QOLjobs_vg,QOLjobs_g,QOLjobs_f,QOLjobs_p,QOLjobs_dnk,QOLjobs_na,QOLmed_vg,QOLmed_g,QOLmed_f,QOLmed_p,QOLmed_dnk,QOLmed_na,QOLk12_vg,QOLk12_g,QOLk12_f,QOLk12_p,QOLk12_dnk,QOLk12_na,QOLhousing_vg,QOLhousing_g,QOLhousing_f,QOLhousing_p,QOLhousing_dnk,QOLhousing_na,QOLshop_vg,QOLshop_g,QOLshop_f,QOLshop_p,QOLshop_dnk,QOLshop_na,QOLchildcare_vg,QOLchildcare_g,QOLchildcare_f,QOLchildcare_p,QOLchildcare_dnk,QOLchildcare_na,QOLseniorcare_vg,QOLseniorcare_g,QOLseniorcare_f,QOLseniorcare_p,QOLseniorcare_dnk,QOLseniorcare_na,QOLyouth_vg,QOLyouth_g,QOLyouth_f,QOLyouth_p,QOLyouth_dnk,QOLyouth_na,QOLcommsrvall_vg,QOLcommsrvall_g,QOLcommsrvall_f,QOLcommsrvall_p,QOLcommsrvall_dnk,QOLcommsrvall_na,QOLrecrentr_vg,QOLrecrentr_g,QOLrecrentr_f,QOLrecrentr_p,QOLrecrentr_dnk,QOLrecrentr_na,QOLpolice_vg,QOLpolice_g,QOLpolice_f,QOLpolice_p,QOLpolice_dnk,QOLpolice_na,QOLfire_vg,QOLfire_g,QOLfire_f,QOLfire_p,QOLfire_dnk,QOLfire_na,QOLems_vg,QOLems_g,QOLems_f,QOLems_p,QOLems_dnk,QOLems_na,QOLstreets_vg,QOLstreets_g,QOLstreets_f,QOLstreets_p,QOLstreets_dnk,QOLstreets_na,QOLparks_vg,QOLparks_g,QOLparks_f,QOLparks_p,QOLparks_dnk,QOLparks_na,QOLgarbage_vg,QOLgarbage_g,QOLgarbage_f,QOLgarbage_p,QOLgarbage_dnk,QOLgarbage_na,QOLwater_vg,QOLwater_g,QOLwater_f,QOLwater_p,QOLwater_dnk,QOLwater_na,QOLgovtsrvall_vg,QOLgovtsrvall_g,QOLgovtsrvall_f,QOLgovtsrvall_p,QOLgovtsrvall_dnk,QOLgovtsrvall_na
10,11.0,1903655,Audubon,ALL,8.727,28.378,28.317,24.596,8.607,1.375,29.213,40.507,18.943,7.948,3.39,0.0,55.594,32.223,2.559,0.0,8.722,0.901,5.235,43.861,30.634,7.556,11.809,0.905,8.249,26.83,42.593,19.022,3.305,0.0,3.391,18.368,31.674,6.613,38.295,1.66,5.288,20.062,29.45,4.667,34.488,6.045,11.006,29.306,21.538,8.837,25.007,4.305,7.177,37.628,32.277,13.398,9.519,0.0,8.14,30.879,30.157,15.722,6.139,8.962,45.094,39.073,11.058,1.286,3.488,0.0,61.226,30.12,3.484,0.0,5.17,0.0,63.905,29.639,1.286,0.0,5.17,0.0,4.596,39.286,33.994,19.519,2.604,0.0,26.76,48.736,16.391,3.569,4.545,0.0,36.691,45.493,1.307,2.632,9.633,4.244,32.936,34.032,15.603,9.536,6.023,1.869,27.55,43.983,15.086,6.332,7.049,0.0
11,12.0,1904420,Bancroft,ALL,14.293,46.116,18.527,9.399,6.463,5.203,49.341,38.117,6.065,3.744,2.734,0.0,8.669,7.551,11.036,15.937,12.68,44.126,12.017,56.429,17.769,6.068,6.133,1.585,16.732,40.533,26.434,10.619,3.404,2.278,31.498,44.971,10.403,2.765,5.995,4.368,32.864,35.118,13.842,0.0,15.817,2.358,31.482,21.046,17.668,8.817,13.338,7.65,30.485,44.22,20.449,3.678,1.168,0.0,27.263,43.579,19.936,4.823,1.753,2.646,30.917,42.943,19.395,3.166,2.074,1.506,67.1,29.648,1.076,0.0,2.176,0.0,60.683,31.87,4.304,0.0,3.143,0.0,2.476,24.866,37.186,35.473,0.0,0.0,43.762,49.87,4.884,1.484,0.0,0.0,56.696,22.435,2.184,0.0,14.581,4.104,34.768,42.112,15.238,0.967,2.871,4.043,23.162,57.175,7.986,0.0,8.767,2.91
12,13.0,1904825,Batavia,ALL,0.0,0.0,19.081,22.857,18.559,39.503,0.0,1.056,11.221,2.817,9.648,75.258,27.72,25.452,11.206,4.922,12.811,17.889,0.0,21.985,31.985,6.031,20.282,19.718,0.0,1.671,0.0,7.733,9.809,80.788,0.0,0.0,13.326,10.737,40.782,35.155,0.0,8.348,8.944,6.186,40.646,35.876,0.0,4.898,3.093,8.352,39.876,43.781,0.0,20.868,22.463,26.357,13.018,17.295,2.675,1.954,9.664,6.075,9.242,70.39,3.473,27.554,40.979,2.745,6.945,18.305,32.654,45.283,9.843,0.0,7.021,5.199,27.262,33.341,19.349,3.51,8.106,8.432,0.0,21.026,45.513,20.298,6.945,6.217,14.69,29.415,26.229,0.0,17.112,12.554,29.0,42.402,0.0,1.707,15.159,11.732,33.993,31.58,7.696,0.0,15.127,11.604,0.0,38.805,26.512,1.098,23.073,10.512
13,14.0,1904870,Battle Creek,ALL,0.0,2.828,28.364,46.982,10.346,11.48,2.183,12.695,3.796,22.318,7.152,51.857,5.242,21.521,17.02,9.204,13.847,33.166,12.101,34.379,30.191,6.946,11.835,4.548,0.0,1.346,5.128,40.831,5.807,46.888,0.0,13.74,16.275,27.733,26.614,15.639,2.452,19.035,37.153,13.54,14.72,13.1,3.312,7.395,25.444,19.644,18.877,25.329,3.804,19.18,29.204,37.162,5.493,5.157,2.927,14.613,17.202,19.304,2.737,43.217,21.791,28.758,28.822,5.322,11.489,3.818,65.981,31.676,1.293,0.0,1.05,0.0,38.156,48.446,0.0,5.493,7.905,0.0,1.069,27.399,59.268,10.374,1.89,0.0,23.601,59.692,11.612,0.82,2.959,1.316,34.134,38.379,9.461,1.069,13.751,3.206,18.833,32.312,15.345,19.128,13.082,1.3,13.721,32.815,29.945,6.716,7.836,8.968
14,15.0,1904960,Bayard,ALL,0.0,2.888,27.868,35.381,17.914,15.95,0.0,1.834,9.025,21.4,9.446,58.295,8.673,32.37,15.738,7.631,8.87,26.718,5.067,16.452,52.349,12.407,10.942,2.783,0.0,0.0,6.072,24.54,3.027,66.361,0.0,1.018,6.833,8.537,28.906,54.706,0.0,2.684,16.933,8.297,31.84,40.247,1.769,5.92,24.839,17.267,21.391,28.814,4.478,18.46,34.083,27.394,4.787,10.798,12.63,21.722,16.737,8.405,12.512,27.995,1.634,25.944,14.778,14.412,11.916,31.315,31.476,44.778,6.56,6.7,10.487,0.0,22.547,35.085,15.71,5.462,12.368,8.828,6.568,41.016,28.879,20.56,2.977,0.0,21.33,34.024,35.245,1.362,6.374,1.665,26.895,38.048,19.21,0.0,4.339,11.507,1.66,19.593,25.464,28.587,17.412,7.284,6.053,20.226,33.179,12.238,23.985,4.319
15,16.0,1905365,Bedford,ALL,2.463,8.105,33.437,44.144,11.85,0.0,14.894,48.277,29.835,3.043,3.951,0.0,49.574,37.71,6.358,0.0,6.358,0.0,7.251,19.642,35.107,16.239,19.042,2.719,1.072,21.202,53.16,24.566,0.0,0.0,12.73,31.066,26.958,4.849,18.55,5.845,6.175,27.678,32.14,2.516,30.347,1.144,6.432,19.749,33.514,15.487,16.553,8.265,8.998,35.613,44.434,3.797,4.482,2.676,6.009,39.199,21.408,13.958,7.288,12.138,30.396,38.862,26.498,0.0,4.244,0.0,35.424,48.168,12.71,0.0,3.698,0.0,36.265,37.861,21.579,0.0,4.295,0.0,1.509,16.126,48.532,33.833,0.0,0.0,26.452,53.436,15.192,0.0,4.92,0.0,41.824,35.092,5.972,0.0,12.649,4.464,19.086,61.022,14.782,2.178,2.932,0.0,18.233,40.513,17.653,2.295,19.591,1.714
16,17.0,1907030,Bloomfield,ALL,0.841,32.673,23.35,33.164,9.973,0.0,10.439,48.88,31.301,8.565,0.813,0.0,39.68,36.667,4.739,1.636,15.564,1.714,1.391,42.996,28.578,6.63,20.405,0.0,0.0,44.499,32.531,18.113,4.857,0.0,14.193,35.092,5.813,0.0,35.419,9.483,14.996,20.78,20.609,0.0,34.374,9.24,12.5,36.181,17.697,4.091,25.037,4.495,14.661,49.294,30.91,1.723,3.413,0.0,20.845,39.03,27.581,2.285,10.259,0.0,35.796,39.282,15.235,4.727,3.222,1.738,22.343,54.074,17.954,1.65,2.25,1.729,30.72,48.233,3.978,1.65,13.69,1.729,6.973,8.415,43.23,38.58,0.922,1.88,14.919,55.034,24.215,1.71,2.331,1.791,29.887,29.696,3.9,3.457,21.522,11.538,29.224,40.942,16.073,11.987,0.0,1.774,27.134,43.634,14.752,0.0,12.706,1.773
17,18.0,1909280,Buffalo Center,ALL,7.297,25.54,33.799,16.714,16.65,0.0,25.256,50.473,18.273,3.882,0.892,1.223,43.927,33.088,18.628,0.0,4.356,0.0,9.486,34.839,34.432,9.768,10.1,1.376,3.851,28.942,51.645,15.562,0.0,0.0,23.695,30.081,29.694,0.0,16.53,0.0,6.66,41.114,22.932,5.05,21.79,2.454,4.442,34.109,32.67,13.318,12.396,3.064,6.816,44.578,41.209,4.279,3.117,0.0,16.962,30.921,26.464,15.616,5.811,4.227,32.636,41.703,19.233,0.0,5.521,0.908,70.329,25.799,0.0,0.0,3.872,0.0,66.791,23.153,2.533,0.0,7.524,0.0,3.526,22.109,36.936,37.429,0.0,0.0,31.386,53.438,9.187,0.0,5.989,0.0,45.566,28.512,5.617,0.0,17.999,2.306,25.129,38.025,11.755,2.871,20.875,1.346,14.648,55.451,14.433,3.803,9.584,2.082
18,19.0,1910045,Calmar,ALL,3.835,8.18,31.306,35.873,4.346,16.46,7.671,44.52,14.918,17.557,13.056,2.277,46.827,43.234,5.114,1.486,2.595,0.743,3.012,19.89,21.473,17.066,19.527,19.031,0.782,14.124,5.797,51.19,3.209,24.897,5.107,43.691,3.065,0.0,28.212,19.925,1.54,28.474,10.42,0.739,39.673,19.154,1.564,17.7,18.004,25.974,15.294,21.464,3.897,24.419,38.136,27.325,5.468,0.754,4.508,36.009,33.879,12.336,4.197,9.07,19.679,41.894,35.161,0.0,2.568,0.698,53.198,42.11,0.0,0.0,4.692,0.0,49.983,26.106,15.127,0.0,8.784,0.0,2.153,25.02,28.166,40.667,3.296,0.698,20.299,66.011,9.281,0.0,4.41,0.0,5.114,53.905,0.714,0.0,20.129,20.138,3.633,68.791,13.313,3.633,8.777,1.854,3.704,39.898,39.919,0.0,16.479,0.0
19,20.0,1912270,Center Point,ALL,7.116,24.708,27.284,19.177,21.046,0.67,21.702,36.571,26.257,1.576,9.947,3.947,61.736,22.052,9.048,1.597,3.548,2.019,21.456,40.055,13.544,4.12,16.499,4.327,3.976,17.858,52.899,15.147,4.872,5.249,2.502,37.802,15.948,2.78,33.739,7.23,1.582,13.15,18.147,4.367,52.329,10.426,17.002,21.465,27.068,9.206,21.124,4.134,4.51,30.991,50.066,5.728,8.705,0.0,10.543,22.592,28.387,21.617,8.904,7.956,0.332,26.713,17.677,26.106,14.626,14.546,46.97,35.606,0.331,1.544,15.55,0.0,51.197,32.703,0.33,1.538,14.232,0.0,3.658,37.33,34.509,22.96,1.544,0.0,28.815,52.749,8.321,1.594,6.848,1.673,44.875,39.768,4.247,1.563,7.971,1.575,20.51,36.435,19.626,2.737,15.447,5.245,16.386,43.322,23.274,1.718,12.556,2.743
20,21.0,1912720,Chariton,ALL,5.245,34.165,31.543,19.864,9.183,0.0,11.149,43.261,27.697,4.6,13.293,0.0,10.03,44.865,25.454,3.174,12.0,4.477,5.444,24.727,40.491,17.527,10.563,1.249,0.0,5.998,49.11,40.618,4.275,0.0,2.318,23.418,19.193,0.0,49.166,5.905,7.688,38.287,17.965,7.145,24.595,4.32,6.774,14.782,39.591,7.274,27.022,4.558,3.387,37.24,50.385,5.892,3.097,0.0,10.546,26.764,32.803,17.707,6.676,5.504,4.554,47.172,21.657,11.041,15.576,0.0,49.118,34.948,7.171,0.0,8.763,0.0,21.684,39.96,14.037,0.0,24.319,0.0,0.0,7.42,49.86,38.216,4.504,0.0,1.098,32.702,45.439,3.881,16.88,0.0,20.124,41.049,1.248,0.0,36.509,1.07,1.082,20.056,16.283,31.445,20.016,11.119,1.346,47.279,39.711,4.486,7.178,0.0
21,22.0,1913080,Cherokee,ALL,2.02,25.205,49.671,16.683,4.258,2.163,28.951,43.87,10.96,4.898,1.147,10.174,19.226,41.448,27.682,3.916,5.769,1.959,6.297,36.125,35.936,14.52,6.087,1.036,4.831,40.256,40.6,13.166,1.147,0.0,5.324,17.929,34.865,6.559,21.051,14.272,6.432,36.361,21.293,5.203,18.886,11.825,16.163,25.42,23.648,10.747,8.669,15.352,10.262,55.248,26.19,6.279,2.022,0.0,22.027,45.953,25.292,4.115,2.274,0.339,34.74,37.419,20.156,5.808,0.908,0.969,44.109,42.214,10.799,0.0,2.878,0.0,38.945,41.047,13.734,2.931,3.344,0.0,6.526,32.668,42.619,17.227,0.0,0.96,33.317,40.507,25.216,0.0,0.0,0.96,27.046,30.672,23.157,12.583,2.688,3.854,18.621,47.693,23.105,6.927,0.894,2.76,20.719,47.192,20.1,5.789,6.2,0.0
22,23.0,1913530,Clarence,ALL,2.292,4.785,36.734,32.474,22.485,1.231,36.167,37.723,11.911,3.361,10.838,0.0,24.409,22.952,15.709,4.104,31.436,1.389,3.843,42.136,33.666,2.822,16.348,1.185,4.071,0.0,13.686,41.496,6.818,33.928,0.0,11.803,8.702,12.308,56.44,10.748,6.399,24.802,14.046,5.749,40.216,8.786,2.515,13.384,16.303,13.579,38.198,16.021,2.601,30.274,43.72,13.76,7.551,2.094,4.377,18.607,16.9,19.891,6.727,33.498,33.722,38.673,13.968,2.203,7.88,3.555,53.628,28.628,6.101,1.325,8.994,1.325,63.502,19.088,3.571,1.325,11.19,1.325,5.232,26.334,28.0,31.898,5.024,3.512,59.861,24.486,3.594,5.621,5.085,1.352,36.59,24.446,5.591,1.325,23.701,8.347,22.44,35.67,14.873,3.571,17.717,5.729,7.081,44.094,10.563,2.671,25.221,10.37
23,24.0,1913575,Clarinda,ALL,0.599,33.654,45.171,12.965,7.611,0.0,14.278,48.66,28.776,5.199,3.087,0.0,25.691,53.268,7.382,0.0,13.66,0.0,2.149,37.449,40.181,14.888,5.333,0.0,1.593,16.678,53.881,26.828,1.019,0.0,10.124,37.89,20.782,1.107,28.477,1.62,1.215,26.6,21.806,0.0,41.123,9.256,6.307,21.927,31.579,15.651,23.401,1.136,6.238,42.156,40.819,6.323,3.348,1.116,17.79,43.821,23.172,11.161,3.356,0.7,30.2,42.422,20.654,3.669,3.055,0.0,49.557,41.068,7.299,0.0,2.076,0.0,63.213,15.92,15.199,0.0,5.669,0.0,2.044,36.82,47.103,14.033,0.0,0.0,14.905,62.424,17.372,1.853,3.446,0.0,44.177,26.593,10.566,2.076,15.09,1.498,29.042,38.113,26.883,4.127,1.835,0.0,15.474,44.949,27.217,1.873,10.487,0.0
24,25.0,1915240,Colo,ALL,0.0,6.368,21.594,38.272,29.9,3.866,2.729,3.816,7.775,13.319,6.81,65.55,24.796,46.337,5.131,0.0,22.327,1.41,12.068,31.028,35.168,5.014,13.966,2.756,0.0,3.911,4.533,18.97,6.93,65.656,9.454,19.114,21.106,1.917,43.006,5.404,9.474,17.947,14.646,2.192,42.86,12.88,8.106,17.736,14.242,7.089,50.017,2.81,8.116,18.76,51.832,3.6,12.881,4.81,11.883,21.384,18.834,10.321,6.654,30.924,24.052,27.472,12.54,5.79,16.441,13.705,53.844,27.68,2.031,0.0,15.071,1.374,49.522,25.984,3.488,0.0,19.598,1.408,7.479,39.156,36.941,13.125,1.211,2.088,24.292,38.683,30.196,1.641,3.797,1.391,19.9,36.399,8.209,2.031,22.042,11.419,31.286,42.997,15.318,1.621,7.404,1.374,15.635,50.417,8.755,0.0,23.769,1.424
25,26.0,1915420,Columbus Junction,ALL,0.687,17.999,35.383,37.195,6.65,2.086,26.865,22.072,31.545,14.59,4.234,0.695,5.946,10.75,46.861,32.772,3.672,0.0,0.583,18.882,28.898,41.951,8.219,1.466,0.0,16.855,34.799,47.089,0.583,0.675,0.713,29.315,12.263,26.384,28.83,2.494,11.34,24.388,25.997,5.102,32.482,0.691,0.0,17.986,46.687,10.209,23.793,1.325,0.597,25.119,41.947,5.113,27.225,0.0,2.021,13.344,40.709,34.719,6.241,2.966,8.883,61.331,8.13,20.49,1.166,0.0,39.023,56.502,2.129,0.0,2.346,0.0,23.222,56.706,4.46,10.677,4.935,0.0,2.392,41.206,39.901,14.434,2.068,0.0,8.812,39.826,33.394,2.082,14.397,1.489,23.345,53.84,4.541,0.0,14.623,3.65,11.848,52.346,13.836,2.932,13.59,5.448,3.686,59.18,7.443,13.37,16.321,0.0
